Year,Sector,End Use,Energy Consumption (ktoe),Emissions (ktCO2e),Annual_HDD,Energy_per_HDD
2003,Services,Lighting/ Appliances,3881.0954459081017,2856.649031025162,5.339308397363444,726.8910422601906
2003,Services,Other non-transport,2498.6470362022123,1839.109018142388,5.339308397363444,467.9720387449518
2003,Services,Space heating,9482.71467261703,6979.675727784445,5.339308397363444,1776.0192831902357
2003,Services,Water ,1528.468178946359,1125.0166874775946,5.339308397363444,286.2670715370399
2004,Domestic,Cooking/ Catering,1422.9670958617598,2518.076164096945,5.2785000233734705,269.5779273583003
2004,Domestic,Lighting/ Appliances,7990.546583434054,14140.03524632891,5.2785000233734705,1513.7911429480916
2004,Domestic,Space heating,31056.918506926526,54958.18311612625,5.2785000233734705,5883.663610761559
2004,Domestic,Water ,8862.376540126237,15682.821611155392,5.2785000233734705,1678.9573744213653
2004,Industrial,Drying/Separation,2693.87600906302,8599.710636436273,5.2785000233734705,510.34877278287354
2004,Industrial,Lighting/ Appliances,283.99666379354136,906.6078476222102,5.2785000233734705,53.80253150250819
2004,Industrial,Motors/Drivers,3051.932474069927,9742.74096901482,5.2785000233734705,578.1817676528963
2004,Industrial,Other non-transport,9000.515793435165,28732.51446681796,5.2785000233734705,1705.1275463825739
2004,Industrial,Process use,13270.440750098456,42363.47555896338,5.2785000233734705,2514.055260270202
2004,Industrial,Space heating,4399.196561593058,14043.637248049996,5.2785000233734705,833.4179297363244
2004,Industrial,Unknown industrial heat,212.47935922669356,678.3018221393626,5.2785000233734705,40.25373842679246
2004,Services,Cooking/ Catering,2116.8948300221587,1474.8081433633865,5.2785000233734705,401.040981462241
2004,Services,Lighting/ Appliances,4061.64233678366,2829.6838882899697,5.2785000233734705,769.4690383249973
2004,Services,Other non-transport,2614.883021652496,1821.748874617164,5.2785000233734705,495.38372834586704
2004,Services,Space heating,9923.846480649761,6913.791557135199,5.2785000233734705,1880.0504758371615
2004,Services,Water ,1599.571861233261,1114.3971695641812,5.2785000233734705,303.0353043762952
2005,Domestic,Cooking/ Catering,1378.910792631739,2385.4163653363507,5.3529125186312365,257.60009860656805
2005,Domestic,Lighting/ Appliances,7743.152287194068,13395.095813204802,5.3529125186312365,1446.530698987404
2005,Domestic,Space heating,30095.369203987393,52062.821325094854,5.3529125186312365,5622.241928900962
2005,Domestic,Water ,8587.989627508297,14856.60356874749,5.3529125186312365,1604.358299825958
