Year,Sector,End Use,Energy Consumption (ktoe),Emissions (ktCO2e),Annual_HDD,Energy_per_HDD
2010,Services,Lighting/ Appliances,4643.315538285205,2697.362731177337,6.819269406392664,680.9109981682744
2010,Services,Other non-transport,2989.3638972780686,1736.5605890791446,6.819269406392664,438.37011256304316
2010,Services,Space heating,11345.053734999112,6590.490108990568,6.819269406392664,1663.6758366466343
2010,Services,Water ,1828.6486750947504,1062.2859342527038,6.819269406392664,268.1590308458117
2011,Domestic,Cooking/ Catering,1156.669084729019,1950.72575868283,4.973424657534246,232.56994211760698
2011,Domestic,Lighting/ Appliances,6495.173521597122,10954.128940571223,4.973424657534246,1305.976056510191
2011,Domestic,Space heating,25244.84059285675,42575.49671595549,4.973424657534246,5075.94712520945
2011,Domestic,Water ,7203.846800817105,12149.308476806966,4.973424657534246,1448.4680671504673
2011,Industrial,Drying/Separation,1885.016146719572,5956.762488400198,4.973424657534246,379.01773456323684
2011,Industrial,Lighting/ Appliances,198.72417849384084,627.9801549977702,4.973424657534246,39.95721101209272
